GeneID	perturbed	perturbed	perturbed	perturbed	control	control	control	control
100287102	2	2	3	1	1	1	2	1
653635	185	149	141	118	97	150	120	96
102466751	1	0	2	3	2	2	1	2
107985730	2	3	2	1	5	7	5	4
100302278	1	1	1	0	2	2	2	1
645520	0	0	0	0	0	0	0	0
79501	0	0	0	0	0	0	0	0
100996442	37	33	35	19	21	33	35	23
729737	43	38	43	32	37	57	53	42
102725121	2	1	4	2	0	0	3	0
102723897	202	167	158	128	142	161	144	107
102465909	2	1	1	1	1	3	1	1
107985721	2	5	2	2	6	10	6	7
112268260	14	8	9	10	7	9	9	9
729759	0	0	0	1	0	0	0	0
100132287	53	42	54	42	57	70	75	55
105378947	0	0	1	1	0	0	1	1
101928626	0	0	0	0	0	0	0	0
113219467	1303	2116	1291	1304	1178	949	1356	762
81399	2	3	2	2	2	2	1	1
100133331	65	59	74	53	72	101	87	64
107984841	17	22	24	15	23	27	28	17
107984847	20	22	23	19	29	34	36	22
107984849	3	2	5	3	3	5	3	4
100288069	54	43	47	38	55	76	67	49
105378580	21	16	29	19	12	19	17	9
400728	4	4	6	8	7	3	10	14
79854	22	21	24	18	27	58	40	46
643837	303	294	314	259	314	461	403	264
107984850	1	3	0	3	1	1	3	0
284593	2	3	2	1	1	3	2	1
284600	32	43	25	29	87	120	113	68
100130417	124	115	85	85	280	424	293	216
107985728	289	281	233	183	578	870	667	474
148398	522	487	474	389	568	770	713	633
26155	2542	2243	2428	1667	1856	2566	2420	1784
339451	223	216	216	182	298	455	353	299
84069	39	42	40	34	34	55	35	41
84808	6	8	5	2	3	4	5	6
57801	1495	1392	1911	1480	1302	1690	2205	2087
9636	210	176	219	128	51	64	66	60
375790	389	388	401	313	492	722	610	544
100288175	94	92	91	58	28	39	42	43
112267874	10	9	10	5	5	5	8	7
105378948	74	79	68	47	22	32	28	32
401934	0	2	3	3	1	0	2	0
54991	453	370	424	272	329	516	435	371
254099	0	0	0	0	0	0	0	0
406984	0	0	0	0	0	0	0	0
406983	0	0	0	0	0	0	0	0
554210	0	0	0	0	0	0	0	0
100506376	0	0	0	0	0	0	0	0
254173	0	0	0	0	2	0	0	0
8784	0	1	2	0	0	3	2	1
7293	0	0	1	1	0	1	1	0
51150	1348	1085	1265	894	950	1293	1231	1003
