GeneID	perturbed	perturbed	control	control
100287102	8	7	6	10
653635	38	34	31	34
102466751	0	0	0	0
107985730	1	1	2	2
100302278	0	0	0	0
645520	0	0	0	0
79501	0	0	0	0
100996442	3	3	3	3
729737	8	7	9	9
102725121	1	1	0	1
102723897	47	52	46	52
102465909	0	0	0	0
107985721	2	2	4	3
112268260	0	1	1	0
729759	0	0	0	0
100132287	8	9	10	9
105378947	0	0	0	0
101928626	0	0	0	0
113219467	1251	1404	1209	1575
81399	1	1	1	1
100133331	9	9	12	6
107984841	0	0	0	1
107984847	0	0	0	0
107984849	0	0	0	0
100288069	2	8	5	4
105378580	4	8	3	4
400728	1	6	6	9
79854	7	6	21	7
643837	47	72	50	62
107984850	0	0	0	0
284593	0	0	0	0
284600	1	0	0	0
100130417	0	0	0	0
107985728	0	0	0	0
148398	110	72	118	99
26155	128	82	137	119
339451	51	64	60	76
84069	22	44	35	44
84808	5	5	6	4
57801	25	20	34	43
9636	82	77	88	108
375790	340	359	309	383
100288175	20	13	20	20
112267874	8	11	8	7
105378948	28	23	27	26
401934	1	1	0	1
54991	25	29	25	32
254099	1	2	2	3
406984	0	0	0	0
406983	0	0	0	0
554210	0	0	0	0
100506376	0	1	0	1
254173	1	2	1	0
8784	7	2	10	8
7293	0	0	0	0
51150	1165	1083	1103	1227
126792	351	363	340	380
388581	0	0	2	1
118424	389	391	357	382
101928895	0	0	0	0
6339	16	8	15	20
116983	30	25	31	30
102465434	0	0	0	0
109623456	0	0	0	0
126789	53	53	52	41
54973	90	112	88	84
102465435	0	0	0	0
80772	87	90	69	100
83756	25	27	26	35
1855	231	207	209	204
102466740	0	0	0	0
54587	5	3	10	10
54998	523	548	628	566
81669	1005	1008	1127	1121
148413	317	334	334	319
55052	507	537	596	535
107984868	0	0	0	0
441869	0	0	0	3
105378585	0	1	0	1
643965	0	0	0	0
102724312	1	2	1	4
107985729	0	0	0	0
64856	24	22	15	18
219293	17	22	20	21
83858	44	52	57	44
55210	127	120	119	151
339453	0	0	0	0
29101	221	171	203	187
643988	25	16	32	22
105378586	0	0	0	0
142678	44	45	46	44
8510	19	19	18	19
984	363	363	412	420
728661	250	261	237	253
8511	2	3	3	1
728642	292	274	312	298
9906	164	169	183	170
112268218	29	31	30	38
65220	128	119	130	117
2782	1061	984	1187	1159
105378949	0	0	0	1
163688	0	0	1	1
339456	7	11	6	14
85452	0	1	3	3
107984872	0	0	2	0
105378589	0	0	0	0
2563	2	1	5	3
105378590	0	0	0	0
105378591	0	0	0	0
5590	61	75	55	53
100506504	2	0	0	2
199990	114	167	139	113
112268219	6	5	8	5
105378593	1	0	0	0
6497	231	228	231	246
79906	7	7	6	10
100129534	7	4	5	2
11079	283	300	381	416
5192	70	74	68	84
9651	0	1	0	3
55229	3	1	17	10
388585	0	0	0	0
115110	26	18	23	19
8764	45	43	40	47
100996583	0	0	0	0
127281	138	146	170	179
79258	1	3	1	1
105378597	3	5	4	4
100287898	3	8	4	12
105378603	0	0	0	0
105378602	0	0	0	0
105378601	0	0	0	0
112268220	0	0	0	0
107985732	0	0	0	0
105378600	0	0	0	0
105378598	0	0	0	1
107984904	0	0	0	0
105378599	0	0	0	0
140625	0	0	0	0
440556	0	4	3	2
63976	24	26	30	37
100422968	0	0	0	0
105378606	0	0	0	0
107984909	0	0	0	2
105378605	1	1	1	0
105378604	62	59	57	69
27237	24	14	11	42
1953	111	109	139	115
105378608	0	0	0	1
693135	0	0	0	0
105378607	0	0	0	0
127262	143	125	171	184
49856	107	80	112	103
7161	24	20	26	26
105378610	3	4	4	3
105378609	0	0	0	0
57212	16	15	16	14
148870	0	1	0	0
388588	12	21	14	18
57470	370	405	419	421
9731	246	273	282	273
1677	54	52	64	75
107984910	2	1	1	1
339448	111	74	114	105
100133612	1	0	0	0
728716	0	0	0	0
105376672	0	0	0	0
105376673	0	0	0	1
284661	0	0	0	0
105376674	0	0	0	0
105376679	0	0	0	0
107985376	0	0	0	0
55966	0	0	0	0
105376680	1	0	3	3
102724429	0	1	0	0
105376681	0	0	0	0
105376682	0	0	0	0
107984911	0	0	0	0
105376686	0	0	0	0
100616421	0	0	0	0
261734	33	24	22	34
8514	23	23	49	44
26038	3	2	1	2
105376687	0	0	0	1
6146	2610	2572	3114	3173
107985733	4	5	5	4
102724450	4	1	0	1
388591	71	68	57	56
23463	277	264	273	306
148645	5	7	12	3
390992	0	0	0	0
387509	127	129	120	133
11332	226	204	267	255
54626	1	3	7	6
83715	20	20	23	27
100422975	0	0	0	0
8718	8	10	6	11
57449	29	39	42	46
79707	256	275	323	325
80835	0	0	0	0
107984912	0	0	0	0
3104	15	14	10	9
9903	241	239	237	185
107984913	7	5	4	7
148479	150	156	151	158
90326	100	107	103	101
55735	83	81	77	85
100505887	0	0	0	0
110841581	5	10	13	11
23261	273	290	363	338
105376692	0	0	0	0
102725193	0	0	0	0
101928836	1	1	4	0
105376691	0	0	0	0
105376689	18	21	4	13
9341	240	208	266	258
8863	52	43	56	52
10911	1	0	2	2
3604	7	12	16	8
11315	1168	1062	1285	1157
54206	88	92	83	83
107984915	0	0	0	0
102724539	1	4	1	2
105376695	2	1	0	0
50651	1	2	3	0
473	709	778	839	984
102724552	1	1	2	0
106632271	0	0	0	0
2023	7652	7385	7119	7416
102465436	2	0	2	2
100505975	0	3	4	4
112268261	1	1	0	2
765	0	0	0	0
155184	0	0	0	0
6518	0	0	0	0
