GeneID	control	control	perturbed	control	perturbed	control	perturbed	perturbed
100287102	12	9	4	6	3	10	6	8
653635	334	341	304	285	353	436	422	434
102466751	11	8	9	7	7	11	12	14
107985730	0	0	0	0	0	1	0	0
100302278	0	0	0	0	0	0	0	0
645520	0	0	0	0	0	0	0	0
79501	0	0	0	0	0	0	0	0
100996442	43	36	44	30	44	46	49	77
729737	103	101	64	56	75	98	116	115
102725121	11	8	3	4	2	7	5	11
102723897	355	358	307	275	352	446	418	448
102465909	10	9	9	8	7	11	11	14
107985721	1	1	1	0	0	1	1	1
112268260	14	12	18	12	17	12	13	25
729759	0	0	0	0	0	0	0	0
100132287	103	87	63	62	67	107	119	110
105378947	2	2	5	3	4	3	2	6
101928626	0	0	0	0	0	0	0	0
113219467	7141	5786	3831	4725	4167	7068	5827	9331
81399	0	1	1	1	1	2	1	2
100133331	126	108	86	73	84	121	134	143
107984841	15	15	14	8	15	16	20	20
107984847	16	33	23	14	20	28	23	46
107984849	1	1	2	1	3	2	2	2
100288069	25	25	26	18	24	28	31	41
105378580	18	31	22	14	13	17	20	26
400728	35	168	75	59	95	62	23	22
79854	31	45	25	20	19	17	15	28
643837	551	1080	418	422	351	1009	281	355
107984850	2	6	0	1	2	3	1	5
284593	3	4	3	3	3	5	3	4
284600	35	16	9	15	17	49	30	47
100130417	13	15	13	22	53	20	25	40
107985728	25	15	33	44	96	24	63	74
148398	93	105	93	89	168	149	195	179
26155	1279	1867	1280	1082	1132	1479	999	1565
339451	438	394	345	313	442	386	472	626
84069	64	41	41	33	33	22	36	63
84808	10	9	5	5	7	4	4	11
57801	10	26	17	31	27	33	26	19
9636	448	3489	1876	1628	3025	178	90	308
375790	3408	4473	4714	4623	6557	4251	5276	6268
100288175	18	5	9	4	8	21	18	24
112267874	3	0	1	0	1	3	3	3
105378948	22	4	9	4	9	16	16	26
401934	0	0	0	0	0	0	1	1
54991	110	180	167	93	110	128	140	202
254099	0	0	0	0	0	0	0	0
406984	0	0	0	0	0	0	0	0
406983	0	0	0	0	0	0	0	0
554210	0	0	0	0	0	0	0	0
100506376	0	0	0	0	0	0	0	0
