GeneID	control	control	perturbed	perturbed	perturbed
100287102	2	2	4	2	2
653635	288	277	217	250	269
102466751	0	3	0	2	2
107985730	0	0	0	0	0
100302278	0	0	0	0	0
645520	0	0	0	0	0
79501	0	0	0	0	0
100996442	22	28	24	31	29
729737	12	28	8	20	37
102725121	5	5	7	3	5
102723897	254	209	207	236	242
102465909	1	1	0	1	2
107985721	0	0	0	0	0
112268260	11	12	12	13	15
729759	0	0	0	0	0
100132287	46	90	27	63	99
105378947	3	2	1	2	4
101928626	0	0	0	0	0
113219467	677	770	731	1505	1910
81399	2	1	2	0	1
100133331	52	121	44	87	120
107984841	12	51	18	36	54
107984847	17	58	20	38	62
107984849	2	7	2	4	8
100288069	18	39	17	31	45
105378580	7	11	8	16	13
400728	4	3	2	6	2
79854	8	19	12	12	9
643837	311	252	323	291	218
107984850	0	1	0	2	1
284593	1	3	1	1	1
284600	11	16	12	13	33
100130417	7	11	25	46	42
107985728	17	12	51	68	77
148398	281	131	182	168	154
26155	5749	3392	3108	2915	2217
339451	114	103	77	94	82
84069	148	79	143	135	115
84808	22	22	26	22	25
57801	51	41	19	29	37
9636	1721	1037	1389	2210	1578
375790	10270	6263	8382	11495	10370
100288175	73	75	129	126	133
112267874	12	10	19	20	27
105378948	57	61	109	106	116
401934	0	5	3	3	0
54991	435	215	184	218	240
254099	0	0	0	0	2
406984	0	1	0	0	1
406983	1	1	1	1	0
554210	0	6	2	1	16
100506376	0	0	0	0	3
254173	0	1	5	4	2
8784	1	2	3	4	5
7293	1	2	2	3	2
51150	6234	5393	6696	8227	6859
126792	457	310	309	321	206
388581	16	14	8	14	23
118424	1544	1006	1094	1037	955
101928895	4	17	5	9	20
6339	8	14	9	17	40
116983	676	509	451	579	672
102465434	1	1	0	0	0
109623456	1	3	1	1	3
126789	419	267	224	248	217
54973	2006	1396	1492	1563	1329
102465435	4	0	1	1	1
80772	834	406	481	465	491
83756	11	9	5	6	12
1855	2004	1067	1090	1125	1095
102466740	1	0	0	0	0
54587	63	66	99	109	98
54998	2099	1248	1162	1226	1061
81669	701	1625	515	1068	1760
148413	451	453	450	506	427
55052	2058	1768	1803	1733	1439
107984868	0	0	0	0	1
441869	0	1	2	2	2
105378585	0	1	3	0	0
643965	0	0	0	4	0
102724312	8	6	9	18	19
107985729	4	3	5	4	13
64856	1567	836	1655	2283	1703
219293	67	35	34	31	32
83858	1275	708	577	526	502
55210	1397	636	675	663	555
339453	1	0	0	1	0
29101	3900	3059	3688	3175	2649
643988	938	457	729	716	637
105378586	9	17	14	18	10
142678	323	239	283	382	335
8510	44	22	31	34	37
984	1346	1165	1255	1398	1292
728661	3652	3258	3108	3057	3071
8511	6	1	1	3	2
728642	597	688	595	663	707
9906	897	946	763	827	855
112268218	132	95	92	103	93
65220	2342	1927	1806	1916	1703
2782	28895	20840	27789	25541	20625
105378949	1	5	2	2	7
163688	0	2	1	0	5
339456	64	47	44	46	39
85452	1	2	0	0	0
107984872	0	0	0	0	0
105378589	0	0	0	0	0
2563	3	2	4	0	1
105378590	0	0	0	0	0
105378591	0	0	1	0	0
5590	992	819	1127	1382	1034
100506504	19	24	24	23	21
199990	810	510	565	662	631
112268219	73	87	47	66	88
105378593	2	4	2	5	8
6497	1652	1074	781	1073	786
79906	115	103	133	138	154
100129534	30	27	33	45	55
11079	5902	5662	5212	5614	5315
5192	985	616	775	687	589
9651	4	3	3	8	8
55229	608	494	632	570	499
388585	0	1	0	0	0
115110	108	124	181	245	238
8764	510	448	571	780	817
100996583	1	0	1	1	2
127281	1802	1308	2118	2310	1804
79258	170	125	178	199	162
105378597	0	0	0	0	0
100287898	2	3	4	6	3
105378603	0	0	0	0	0
105378602	0	0	0	0	0
105378601	0	0	0	0	0
112268220	0	0	0	0	0
107985732	0	0	0	0	0
105378600	0	0	0	0	0
105378598	0	0	0	0	0
107984904	0	0	0	0	0
105378599	0	0	0	0	0
140625	0	0	0	0	0
440556	1	0	0	0	1
63976	2	0	3	5	1
100422968	0	0	0	0	0
105378606	0	0	0	0	0
107984909	0	0	0	0	0
105378605	0	0	0	0	0
105378604	0	0	0	1	2
27237	853	593	534	829	695
1953	788	1034	813	1619	1855
105378608	0	0	0	0	1
693135	0	0	0	0	0
105378607	0	0	0	0	0
127262	3238	2451	3524	3152	2657
49856	728	750	463	480	537
7161	434	263	221	226	208
105378610	0	3	2	1	1
105378609	0	0	1	0	0
57212	658	760	552	673	775
148870	1	4	10	6	5
388588	32	15	29	36	45
57470	1718	1240	1351	1349	1163
9731	1441	1203	1622	1717	1461
1677	117	113	93	84	76
107984910	4	8	3	2	4
339448	1347	1543	1162	1159	1167
100133612	7	4	11	5	5
728716	0	0	0	0	0
105376672	0	0	0	0	0
105376673	8	4	0	1	5
284661	0	0	0	0	0
105376674	0	0	0	0	0
105376679	0	0	0	0	0
107985376	0	0	0	0	0
55966	0	0	0	0	0
105376680	0	0	0	0	0
102724429	0	0	0	0	0
105376681	0	0	0	0	0
105376682	0	0	0	0	0
107984911	0	0	0	0	0
105376686	0	0	0	0	0
100616421	0	0	0	0	0
261734	293	232	239	315	286
8514	405	239	467	501	368
26038	34	24	54	40	34
105376687	0	0	0	0	0
6146	11319	10966	11458	9796	7365
107985733	34	58	59	68	54
102724450	15	26	12	25	45
388591	338	634	398	618	908
23463	7255	5397	6053	5467	4335
148645	60	53	107	69	52
390992	0	0	0	0	0
387509	771	591	1107	1293	1032
11332	2375	1700	1883	2065	1580
54626	44	38	70	53	42
83715	23	17	22	39	23
100422975	0	0	0	0	0
8718	24	60	42	41	96
57449	551	424	743	681	733
79707	1129	904	871	985	703
80835	1	0	1	2	1
107984912	0	0	0	0	1
3104	200	268	217	256	274
9903	4915	2825	4024	4667	2681
107984913	2	3	5	2	5
148479	1857	1554	1707	1804	1436
90326	911	597	704	675	581
55735	3296	2593	3099	2919	2335
100505887	0	0	0	0	0
110841581	1	3	5	4	2
23261	960	1071	881	883	768
105376692	0	0	0	0	0
102725193	0	0	0	0	0
101928836	0	0	0	0	0
105376691	0	0	0	0	0
105376689	0	3	0	4	2
9341	6791	6544	8705	8319	7063
8863	318	401	256	468	373
10911	0	0	1	0	1
3604	10	13	41	78	52
11315	6646	6285	7531	6601	5175
54206	19774	18620	18760	23275	16298
107984915	0	0	2	2	0
102724539	1	0	2	3	0
105376695	0	0	0	0	0
50651	13	7	52	40	31
473	2618	2332	2281	2403	2243
102724552	0	1	3	1	3
106632271	0	0	0	0	0
2023	139442	102820	163679	148309	111225
102465436	3	3	4	68	69
100505975	7	9	8	6	6
112268261	0	0	1	0	0
765	0	0	0	0	0
155184	0	0	1	1	1
6518	1	0	1	3	2
80045	322	285	217	382	284
106614088	43	206	23	93	130
407040	0	2	0	1	1
102724571	34	42	25	31	32
9563	2489	2419	3054	3785	3451
80176	1074	751	720	930	565
100506022	11	16	11	15	15
84275	807	739	580	634	493
199953	846	388	355	325	253
107985734	9	4	4	4	3
105376712	0	0	0	0	0
5293	392	351	420	553	441
644997	0	0	0	0	0
101929074	7	3	40	33	31
22883	8781	7340	9535	11725	8836
56998	409	378	459	506	407
105376717	35	29	27	29	25
84328	1294	1324	1395	1414	1162
64802	378	560	466	480	557
113391335	0	1	0	1	1
100847055	0	0	0	1	0
116362	3	8	21	14	9
10277	3626	2955	3043	2916	2357
23095	1387	1295	1884	1692	1428
105376725	2	1	0	0	0
5226	14010	11447	14265	13190	10266
100526739	259	256	296	230	214
378708	304	296	310	243	227
1325	16	12	10	6	8
1676	2101	2465	2059	2006	1966
5195	1189	977	1014	1066	908
54897	302	438	204	294	503
105376733	0	0	0	0	0
105376735	0	0	0	0	0
148345	0	0	0	0	0
23435	6865	7005	6218	5944	5443
10747	17	29	9	20	25
6723	2249	1220	1482	1303	979
5394	3627	3674	3525	3246	3201
105376736	112	137	142	126	97
2475	3152	2484	2743	2244	1818
100873935	41	41	46	40	33
10218	0	0	2	4	5
29914	1224	999	1058	1034	746
105376737	0	0	0	0	0
105376739	0	0	0	0	0
105376740	0	0	0	0	0
57540	1	2	2	1	1
112268221	0	0	0	0	0
101929181	1	0	0	1	0
26232	56	49	208	301	195
93611	478	476	735	859	741
26270	297	282	447	444	361
10459	1357	1073	1063	950	821
374946	4	1	13	4	8
57085	1654	1314	1726	1886	1543
284498	170	138	167	255	210
102724659	0	0	0	0	0
4524	900	903	976	1489	1197
1185	943	1206	1240	1434	1671
100379251	109	166	152	194	221
4878	0	9	0	4	18
4879	0	0	0	0	2
26829	0	0	1	0	3
90231	3161	2238	2724	3195	2550
5351	10119	8265	12430	12837	10290
9927	8410	5940	8586	8167	6127
60672	482	326	321	268	305
102466982	1	0	0	0	0
943	0	0	1	0	1
102465836	0	0	0	0	0
7133	1461	945	1029	1259	853
100616438	0	0	0	0	0
107984917	0	1	3	2	2
55187	1688	1882	2428	2185	1834
677885	5	3	5	2	3
105376744	0	1	0	0	2
9249	4631	5130	4601	4079	4868
102466722	1	1	1	0	1
343066	0	0	0	0	0
126767	0	0	0	0	0
93190	0	0	0	0	0
390999	0	0	0	0	1
65121	0	0	0	0	0
105376745	0	0	0	0	0
440560	0	0	0	0	0
343069	0	0	1	3	0
65122	0	0	0	0	0
400735	0	0	0	0	0
343071	0	0	0	0	0
441871	0	0	0	0	0
440561	0	0	0	0	0
101929983	0	0	0	0	0
649330	0	0	1	0	0
441873	0	0	0	0	0
649324	0	0	0	0	0
440563	0	1	1	0	0
645354	0	0	0	0	0
645359	0	0	0	0	0
101060301	0	1	1	0	0
343070	0	0	0	0	0
400736	0	0	0	0	0
391003	0	0	0	0	0
343068	0	0	0	0	0
391002	0	0	0	0	0
645382	0	0	0	0	0
653619	0	0	0	0	0
729528	0	0	0	0	0
645414	0	0	0	0	0
391004	0	0	0	0	0
645425	0	0	0	0	0
126755	0	0	0	0	0
102724856	0	0	0	0	0
107984918	0	0	0	0	0
10630	0	0	0	0	0
107984919	0	0	0	0	0
105378612	0	0	0	0	0
105376756	0	0	0	0	0
7799	1233	1238	1342	1470	1327
23254	31	35	21	32	37
107985467	0	0	0	0	0
107985468	0	0	0	0	0
105376762	0	0	0	0	0
105376759	0	0	0	0	0
107985469	0	0	0	0	0
200197	23	32	21	34	36
55092	1215	1121	913	943	892
727684	1	1	0	1	0
114827	31	30	43	66	53
101927417	5	5	12	9	8
101927441	22	11	22	24	31
79180	8084	4942	5658	6143	4863
11330	1	1	0	0	1
63036	0	0	0	0	0
105376767	0	2	0	0	0
51032	9	5	6	1	4
842	454	453	505	661	530
23341	1504	1648	2011	1844	1941
107397391	0	0	0	0	0
79814	48	52	52	44	58
84301	1482	1254	1444	1396	982
6248	407	317	410	338	265
23207	1862	1389	1385	1527	1361
284723	1	7	1	2	7
110806303	0	1	0	0	0
388595	0	0	0	4	2
54751	10822	7707	9651	11072	8856
440567	581	528	502	520	433
729614	88	93	67	75	75
23013	4145	4469	3757	5019	3596
7709	742	588	558	744	608
149563	0	1	0	0	1
27129	0	0	0	0	0
1187	2	1	2	1	4
1188	6	8	29	49	33
348487	23	12	21	41	29
1969	32455	23312	27640	37081	28269
101927479	73	92	70	83	99
128272	501	421	494	526	551
101927546	63	62	90	96	78
79363	117	89	123	111	83
54455	893	822	911	888	837
26099	6477	4757	5851	5272	4165
374955	3665	2805	3262	3077	2365
55707	3561	3424	4124	4206	3540
107984921	6	14	13	9	9
114819	12	23	5	12	22
26871	5	0	2	1	0
107985757	0	0	0	0	0
100132147	1	0	2	2	1
107985758	0	0	1	0	1
7195	0	0	0	0	0
55672	373	381	352	397	447
105376794	64	149	52	102	133
84809	38	57	24	47	66
11209	5	13	1	7	15
107985736	0	2	1	2	1
26869	4	0	2	1	1
107985759	0	0	0	0	0
284729	0	0	0	0	0
100189045	1	0	0	0	0
6060	4	0	1	1	0
11223	3	9	2	4	9
100500876	0	0	0	0	0
100189298	0	0	0	0	0
112267871	5	2	3	3	3
7193	2	0	1	0	0
100189183	0	0	0	0	0
105376805	102	107	80	90	88
791226	0	0	1	1	0
26870	3	0	2	1	0
9696	86	58	58	69	63
4237	163	187	241	283	262
105376806	36	58	67	86	77
23400	2615	1379	2479	2556	2068
6390	4836	4301	4534	3797	3374
11240	7	3	4	10	14
105376808	0	0	0	0	0
400743	0	0	0	1	0
29943	20	27	38	50	69
51702	11	10	33	29	29
100616188	0	0	0	0	0
23569	0	1	0	0	0
353238	0	0	0	0	0
55920	3873	3653	2795	4208	2886
55160	781	753	725	861	1092
107984028	0	0	0	0	0
81569	9	1	6	4	0
105376809	0	0	0	0	0
105376812	0	0	0	0	0
101927876	0	0	0	0	0
84966	0	0	0	0	0
105376814	0	0	0	0	0
127707	398	343	326	382	332
5081	0	0	0	0	0
80834	0	0	0	0	0
8659	511	384	473	529	443
100616120	0	0	0	0	0
100302276	0	0	0	0	0
126917	1658	1107	1797	1634	1171
105376815	0	2	1	4	3
23352	4373	5142	5472	4695	4441
