GeneID	control	perturbed	control	perturbed	control	perturbed
100287102	1	2	2	1	1	1
653635	250	282	301	363	396	296
102466751	10	11	4	8	10	11
107985730	0	0	0	0	0	0
100302278	0	0	0	0	0	0
645520	0	0	0	0	0	0
79501	0	0	0	0	0	0
100996442	23	24	16	20	18	25
729737	125	206	92	224	173	259
102725121	2	2	3	0	2	3
102723897	308	324	330	425	412	329
102465909	3	5	2	4	6	4
107985721	0	0	0	0	0	1
112268260	15	16	16	10	9	11
729759	0	0	0	1	0	0
100132287	137	212	136	226	188	234
105378947	5	3	3	3	4	1
101928626	0	0	0	0	0	0
113219467	1253	1388	1499	2080	2011	2224
81399	4	4	4	3	4	5
100133331	124	167	120	188	161	197
107984841	31	38	22	28	33	36
107984847	27	34	28	27	45	31
107984849	4	5	3	4	5	6
100288069	30	32	22	15	40	30
105378580	10	5	7	5	8	7
400728	2	4	3	7	7	3
79854	10	9	5	4	12	6
643837	181	238	239	259	210	236
107984850	0	0	0	0	1	2
284593	1	0	0	0	2	1
284600	139	205	78	139	122	139
100130417	63	121	61	108	74	115
107985728	163	195	97	155	159	175
148398	532	522	522	676	608	597
26155	2374	3043	2807	3979	3235	3314
339451	363	380	282	349	380	349
84069	154	217	151	275	213	215
84808	25	26	24	39	32	35
57801	343	509	403	673	498	619
9636	966	1568	1371	2108	1484	1730
375790	1712	2324	1800	2477	2323	2667
100288175	9	11	12	14	21	18
112267874	5	8	6	11	6	11
105378948	23	47	24	51	24	53
401934	17	41	10	35	18	53
54991	275	297	313	470	332	380
254099	0	0	0	0	0	0
406984	0	0	0	0	0	0
406983	0	0	0	0	0	0
554210	0	0	0	0	0	0
100506376	7	4	4	5	6	3
254173	6	2	3	3	3	1
8784	340	446	420	541	459	458
7293	2	1	1	0	1	1
51150	1931	2505	2349	3039	2654	2913
126792	594	689	683	841	758	777
388581	7	9	10	12	11	17
118424	672	743	803	963	877	800
101928895	2	0	3	1	2	4
6339	12	9	8	5	8	6
116983	816	1099	761	1206	1041	1106
102465434	1	0	0	1	1	0
109623456	4	7	3	7	5	3
126789	528	482	676	556	802	495
54973	954	1288	1102	1647	1327	1336
102465435	6	8	9	11	6	15
80772	612	722	739	1025	827	789
83756	35	27	26	40	40	34
1855	1564	2117	1834	2424	2094	2223
102466740	3	2	2	3	1	3
54587	350	606	383	736	441	676
54998	1431	1595	1798	2302	1930	1926
81669	771	865	470	617	734	789
148413	340	404	434	531	521	427
55052	738	642	1012	939	1019	744
107984868	1	0	2	0	1	0
441869	12	4	11	4	7	5
105378585	5	1	5	0	2	0
643965	0	0	0	0	0	0
102724312	0	0	1	1	1	1
107985729	0	0	1	2	0	1
64856	173	170	226	243	280	176
219293	18	15	20	21	28	19
83858	403	456	389	469	512	470
55210	696	836	774	981	886	796
339453	4	10	6	17	13	5
29101	1429	1412	1628	2065	1810	1655
643988	311	280	445	444	414	334
105378586	37	31	28	35	30	30
142678	626	687	656	795	783	713
8510	22	21	23	35	26	25
984	623	728	730	931	819	797
728661	1467	1886	1684	2409	1963	2072
8511	4	6	4	5	4	3
728642	252	299	265	336	349	316
9906	442	516	487	648	578	569
112268218	55	94	61	114	77	102
65220	753	1206	830	1477	918	1316
2782	4554	5453	5351	7102	5809	5838
105378949	13	11	11	6	7	12
163688	1	0	0	0	0	2
339456	36	44	41	73	55	49
85452	0	0	0	1	1	3
107984872	0	0	0	1	1	1
105378589	0	0	0	0	0	0
2563	11	3	8	4	10	9
105378590	0	0	0	0	0	0
105378591	1	3	2	0	2	1
5590	398	450	512	569	567	512
100506504	26	24	27	29	40	27
199990	574	703	710	1085	774	897
112268219	189	267	249	335	266	307
105378593	1	1	3	1	2	4
6497	1196	1633	1352	2119	1573	1940
79906	136	149	123	164	165	138
100129534	91	88	100	102	104	114
11079	2133	2225	2534	2795	2779	2344
5192	517	516	655	689	691	503
9651	40	42	41	61	69	44
55229	376	375	484	379	533	362
388585	0	1	3	1	4	1
115110	1	0	3	1	1	2
8764	5	3	4	10	7	8
100996583	0	0	0	0	0	0
127281	452	310	571	428	633	341
79258	55	66	76	78	77	47
105378597	0	0	0	0	0	0
100287898	1	1	2	1	0	0
105378603	0	0	0	0	0	0
105378602	0	0	0	0	0	0
105378601	0	0	0	0	0	0
112268220	0	0	0	0	0	0
107985732	0	0	0	0	0	0
105378600	0	0	1	0	0	0
105378598	0	0	0	0	0	0
107984904	0	0	0	0	0	0
105378599	0	0	0	0	0	0
140625	0	0	0	0	1	0
440556	0	0	0	0	0	0
63976	8	4	12	3	12	3
100422968	0	0	0	0	0	0
105378606	0	0	0	0	0	0
107984909	0	0	0	0	0	0
105378605	0	0	0	0	0	0
105378604	0	0	0	0	0	0
27237	614	779	679	1142	809	940
1953	282	262	226	242	269	212
105378608	2	2	0	0	1	1
693135	0	0	0	0	0	0
105378607	0	0	0	0	0	0
127262	643	771	913	1069	1061	852
49856	272	286	352	369	372	312
7161	42	30	63	39	74	25
105378610	0	0	0	0	1	0
105378609	0	0	0	0	0	0
57212	505	505	600	567	717	514
148870	1	1	4	3	7	1
388588	12	20	14	17	12	20
57470	1006	1204	1212	1542	1329	1300
9731	632	891	604	914	755	937
1677	188	272	208	275	255	215
107984910	5	2	2	3	7	4
339448	405	389	467	494	523	392
100133612	9	11	7	11	14	11
728716	0	0	0	0	0	0
105376672	0	0	0	0	0	0
105376673	11	19	14	19	15	13
284661	0	0	0	0	0	0
105376674	0	0	0	0	0	0
105376679	0	0	0	0	0	0
107985376	0	0	0	0	0	0
55966	0	1	0	0	0	1
105376680	0	0	0	0	0	0
102724429	0	0	0	0	0	0
105376681	0	0	0	0	0	0
105376682	0	0	0	0	0	0
107984911	0	0	0	0	0	0
105376686	0	0	0	0	0	0
100616421	0	1	0	0	1	2
