GeneID	perturbed	perturbed	control	control
100287102	7	5	6	10
653635	32	25	31	34
102466751	0	0	0	0
107985730	2	4	2	2
100302278	0	0	0	0
645520	0	0	0	0
79501	0	1	0	0
100996442	4	4	3	3
729737	3	3	9	9
102725121	1	0	0	1
102723897	38	41	46	52
102465909	0	0	0	0
107985721	2	4	4	3
112268260	1	0	1	0
729759	0	0	0	0
100132287	4	4	10	9
105378947	0	0	0	0
101928626	0	0	0	0
113219467	1161	1377	1209	1575
81399	0	0	1	1
100133331	5	5	12	6
107984841	1	1	0	1
107984847	0	0	0	0
107984849	0	0	0	0
100288069	3	4	5	4
105378580	5	4	3	4
400728	4	5	6	9
79854	21	8	21	7
643837	34	43	50	62
107984850	0	0	0	0
284593	0	0	0	0
284600	0	0	0	0
100130417	0	0	0	0
107985728	0	0	0	0
148398	75	73	118	99
26155	87	87	137	119
339451	28	31	60	76
84069	38	41	35	44
84808	5	5	6	4
57801	12	13	34	43
9636	91	110	88	108
375790	167	192	309	383
100288175	15	10	20	20
112267874	7	5	8	7
105378948	21	17	27	26
401934	1	0	0	1
54991	11	8	25	32
254099	0	1	2	3
406984	0	0	0	0
406983	0	0	0	0
554210	0	0	0	0
100506376	0	1	0	1
254173	0	0	1	0
8784	1	2	10	8
7293	0	0	0	0
51150	895	784	1103	1227
126792	363	346	340	380
388581	0	0	2	1
118424	271	237	357	382
101928895	0	0	0	0
6339	4	12	15	20
116983	32	23	31	30
102465434	0	0	0	0
109623456	0	0	0	0
126789	28	33	52	41
54973	53	69	88	84
102465435	0	0	0	0
80772	63	58	69	100
83756	22	13	26	35
1855	168	141	209	204
102466740	0	0	0	0
54587	5	6	10	10
54998	371	480	628	566
81669	950	999	1127	1121
148413	311	301	334	319
55052	527	506	596	535
107984868	0	0	0	0
441869	1	1	0	3
105378585	0	2	0	1
643965	0	0	0	0
102724312	2	1	1	4
107985729	0	0	0	0
64856	12	7	15	18
219293	26	20	20	21
83858	31	32	57	44
55210	135	118	119	151
339453	1	0	0	0
29101	157	147	203	187
643988	18	12	32	22
105378586	0	0	0	0
142678	47	42	46	44
8510	13	15	18	19
984	360	374	412	420
728661	216	198	237	253
8511	2	1	3	1
728642	283	306	312	298
9906	140	129	183	170
112268218	32	34	30	38
65220	136	121	130	117
2782	949	966	1187	1159
105378949	2	2	0	1
163688	2	0	1	1
339456	2	6	6	14
85452	0	1	3	3
107984872	0	0	2	0
105378589	0	1	0	0
2563	1	1	5	3
105378590	0	0	0	0
105378591	0	1	0	0
5590	54	47	55	53
100506504	2	0	0	2
199990	120	106	139	113
112268219	8	5	8	5
105378593	1	0	0	0
6497	189	148	231	246
79906	5	5	6	10
100129534	4	7	5	2
11079	233	272	381	416
5192	32	41	68	84
9651	1	1	0	3
55229	3	8	17	10
388585	0	0	0	0
115110	18	24	23	19
8764	40	46	40	47
100996583	0	1	0	0
127281	132	136	170	179
79258	2	1	1	1
105378597	6	1	4	4
100287898	1	2	4	12
105378603	0	0	0	0
105378602	0	0	0	0
105378601	0	0	0	0
112268220	0	0	0	0
107985732	0	0	0	0
105378600	0	0	0	0
105378598	0	0	0	1
107984904	0	0	0	0
105378599	0	0	0	0
140625	0	0	0	0
440556	1	6	3	2
63976	10	20	30	37
100422968	0	0	0	0
105378606	0	0	0	0
107984909	0	1	0	2
105378605	0	0	1	0
105378604	38	39	57	69
27237	9	12	11	42
1953	86	90	139	115
105378608	0	0	0	1
693135	0	0	0	0
105378607	0	0	0	0
127262	142	156	171	184
49856	83	94	112	103
7161	21	11	26	26
105378610	4	2	4	3
105378609	0	0	0	0
57212	15	8	16	14
148870	0	0	0	0
388588	18	12	14	18
57470	326	338	419	421
9731	210	249	282	273
1677	41	58	64	75
107984910	1	0	1	1
339448	87	90	114	105
100133612	0	0	0	0
728716	0	0	0	0
105376672	0	0	0	0
105376673	0	1	0	1
284661	0	0	0	0
105376674	0	0	0	0
105376679	0	0	0	0
107985376	0	1	0	0
55966	0	0	0	0
105376680	1	4	3	3
102724429	0	1	0	0
105376681	0	0	0	0
105376682	0	0	0	0
107984911	0	0	0	0
105376686	0	0	0	0
100616421	0	0	0	0
261734	19	22	22	34
8514	53	34	49	44
26038	2	1	1	2
105376687	0	0	0	1
6146	2399	2560	3114	3173
107985733	4	3	5	4
102724450	5	3	0	1
388591	53	63	57	56
23463	258	314	273	306
148645	6	6	12	3
390992	0	0	0	0
387509	82	74	120	133
11332	211	189	267	255
54626	1	1	7	6
83715	20	17	23	27
100422975	0	0	0	0
8718	7	9	6	11
57449	23	31	42	46
79707	256	262	323	325
80835	0	0	0	0
107984912	0	0	0	0
3104	12	6	10	9
9903	143	151	237	185
107984913	3	4	4	7
148479	108	109	151	158
90326	87	84	103	101
55735	72	83	77	85
100505887	1	0	0	0
110841581	6	7	13	11
23261	286	248	363	338
105376692	0	0	0	0
102725193	0	0	0	0
101928836	0	2	4	0
105376691	0	0	0	0
105376689	3	4	4	13
9341	279	256	266	258
8863	37	31	56	52
10911	0	2	2	2
3604	17	30	16	8
11315	1010	1062	1285	1157
54206	44	69	83	83
107984915	0	0	0	0
102724539	3	0	1	2
105376695	0	0	0	0
50651	2	0	3	0
473	603	683	839	984
102724552	3	0	2	0
106632271	0	0	0	0
2023	6353	5912	7119	7416
102465436	1	0	2	2
100505975	2	4	4	4
112268261	1	1	0	2
765	0	0	0	0
155184	0	0	0	0
6518	0	0	0	0
80045	52	46	73	100
106614088	16	14	33	39
407040	0	0	0	0
102724571	7	5	9	10
9563	94	116	114	127
80176	13	14	31	42
100506022	0	0	0	0
84275	74	78	102	87
199953	40	43	56	51
107985734	21	23	29	19
105376712	0	0	0	0
5293	88	92	108	123
644997	0	0	0	0
101929074	25	28	62	38
22883	326	324	353	406
56998	50	60	48	62
105376717	0	0	1	2
84328	177	181	199	167
64802	26	31	37	28
113391335	0	0	0	0
100847055	0	1	1	0
116362	28	36	35	43
10277	259	259	329	335
23095	373	366	362	356
105376725	3	2	2	2
5226	295	284	303	325
100526739	71	70	81	80
378708	107	109	125	125
1325	10	6	7	16
1676	442	375	547	666
5195	60	54	58	42
54897	105	90	131	126
105376733	0	0	0	0
105376735	3	0	1	1
148345	0	0	1	0
23435	766	789	916	885
10747	1	3	1	3
6723	296	330	401	422
5394	299	354	373	330
105376736	5	9	8	4
2475	228	249	206	231
100873935	1	0	0	0
10218	0	1	0	1
29914	83	84	103	110
105376737	0	0	0	0
105376739	0	0	0	0
105376740	0	0	0	0
57540	1	0	1	3
112268221	0	0	0	0
101929181	1	1	0	1
26232	78	74	86	102
93611	42	32	60	48
26270	1	3	1	6
10459	132	145	204	240
374946	10	15	18	26
57085	62	48	61	76
284498	2	0	1	0
102724659	0	0	0	1
4524	86	75	96	92
1185	38	52	58	43
100379251	4	10	7	4
4878	2	1	2	1
4879	0	2	5	5
26829	0	1	1	2
90231	192	181	199	245
5351	261	281	265	278
9927	395	388	473	470
60672	25	35	21	35
102466982	0	0	0	0
943	4	2	7	4
102465836	0	0	0	0
7133	936	898	904	1027
100616438	0	0	0	0
107984917	2	0	2	3
55187	192	187	182	167
677885	0	0	0	1
105376744	0	0	0	0
9249	158	195	201	189
102466722	0	0	0	0
343066	0	0	0	0
126767	0	0	0	0
93190	0	0	0	0
390999	0	0	0	0
65121	0	0	0	0
105376745	0	0	0	0
440560	0	0	0	1
343069	0	0	2	1
65122	0	0	0	0
400735	0	0	0	0
343071	0	0	0	0
441871	0	0	0	0
440561	0	0	0	0
101929983	0	0	0	0
649330	0	0	0	0
441873	0	0	0	0
649324	0	0	0	0
440563	0	0	0	0
645354	0	0	0	0
645359	0	0	0	0
101060301	0	0	0	0
343070	0	0	0	0
400736	0	0	0	0
391003	0	0	0	0
343068	0	0	0	0
391002	0	0	0	0
645382	0	0	0	0
653619	0	0	0	0
729528	0	0	0	0
645414	0	0	0	0
391004	0	0	0	0
645425	0	0	0	0
126755	0	0	0	0
102724856	0	0	0	0
107984918	0	0	0	0
10630	0	0	0	0
107984919	0	0	0	0
105378612	0	0	0	0
105376756	0	0	0	0
7799	259	257	246	251
23254	37	40	77	103
107985467	1	0	3	0
107985468	0	0	0	0
105376762	0	0	1	1
105376759	0	0	1	0
107985469	0	0	1	0
200197	0	2	7	4
55092	185	217	243	229
727684	0	1	0	1
114827	28	22	30	46
101927417	44	28	34	36
101927441	2	1	1	1
79180	260	227	301	331
11330	0	0	1	0
63036	0	0	0	0
105376767	0	0	0	0
51032	0	0	0	0
842	57	53	39	54
23341	92	84	127	125
107397391	2	1	5	3
79814	45	38	28	43
84301	179	168	171	146
6248	3	4	6	9
23207	102	118	135	136
284723	1	0	0	3
110806303	0	0	0	0
388595	0	0	0	0
54751	13	19	26	11
440567	26	14	29	21
729614	103	136	107	111
23013	448	396	518	464
7709	76	94	92	85
149563	0	0	0	1
27129	0	0	0	0
1187	0	0	1	1
1188	0	0	1	0
348487	1	1	2	2
1969	325	369	326	361
101927479	76	64	48	79
128272	22	17	44	32
101927546	0	0	0	0
79363	1	0	1	2
54455	56	52	56	55
26099	162	146	144	163
374955	93	98	99	102
55707	114	123	116	125
107984921	5	3	6	6
114819	6	8	6	9
26871	3	3	4	5
107985757	0	0	0	0
100132147	0	0	0	0
107985758	0	0	0	0
7195	0	2	0	0
55672	73	69	77	87
105376794	38	41	30	39
84809	21	24	21	25
11209	3	5	8	5
107985736	1	1	1	1
