GeneID	perturbed	control	control
100287102	1	0	2
653635	324	307	310
102466751	7	14	7
107985730	1	2	1
100302278	1	1	0
645520	1	2	4
79501	0	0	0
100996442	64	70	65
729737	657	593	578
102725121	1	0	1
102723897	380	309	331
102465909	3	8	3
107985721	0	1	1
112268260	11	20	23
729759	0	0	1
100132287	240	228	229
105378947	1	1	0
101928626	0	0	0
113219467	665	598	612
81399	10	9	5
100133331	220	233	219
107984841	89	77	67
107984847	92	87	80
107984849	27	20	26
100288069	83	62	73
105378580	20	25	26
400728	10	5	13
79854	12	10	18
643837	525	503	436
107984850	0	0	0
284593	0	0	1
284600	21	18	22
100130417	2	1	0
107985728	0	0	0
148398	145	135	177
26155	2377	2362	2377
339451	317	254	245
84069	346	255	286
84808	52	37	43
57801	149	179	194
9636	580	450	479
375790	9890	9123	9422
100288175	214	255	227
112267874	69	70	55
105378948	156	161	136
401934	4	15	11
54991	294	241	237
254099	0	0	0
406984	2	0	0
406983	2	1	0
554210	10	6	2
100506376	0	0	0
254173	0	0	0
8784	6	3	3
7293	0	2	0
51150	2174	2203	2207
126792	593	597	548
388581	9	2	9
118424	1063	875	874
101928895	47	33	53
6339	111	91	87
116983	431	405	354
102465434	0	0	0
109623456	5	2	2
126789	196	213	216
54973	1313	1231	1263
102465435	1	6	3
80772	454	485	455
83756	43	53	28
1855	1932	1762	1871
102466740	6	2	5
54587	368	287	278
54998	1164	1096	1127
81669	2094	1966	1875
148413	422	491	478
55052	838	876	836
107984868	0	0	0
441869	8	5	7
105378585	8	3	4
643965	1	1	0
102724312	14	11	15
107985729	19	24	11
64856	279	296	273
219293	13	42	32
83858	665	669	631
55210	852	831	845
339453	1	4	1
29101	1308	1198	1181
643988	146	186	177
105378586	14	6	20
142678	205	225	199
8510	16	24	16
984	1325	1282	1202
728661	992	1136	1211
8511	0	0	0
728642	792	809	721
9906	278	296	315
112268218	96	77	89
65220	1453	1399	1326
2782	7773	7856	7962
105378949	26	30	43
163688	44	24	38
339456	23	56	38
85452	13	6	6
107984872	1	0	5
105378589	0	5	7
2563	20	35	19
105378590	0	0	0
105378591	3	1	1
5590	383	405	390
100506504	22	42	27
199990	605	571	549
112268219	168	135	117
105378593	4	0	2
6497	892	720	807
79906	79	60	79
100129534	30	35	24
11079	2162	1991	1985
5192	386	397	381
9651	39	18	30
55229	373	410	443
388585	0	3	1
115110	19	14	17
8764	54	36	43
100996583	0	8	0
127281	447	517	405
79258	64	54	47
105378597	2	1	1
100287898	23	18	20
105378603	0	0	0
105378602	0	0	0
105378601	0	0	0
112268220	0	0	0
107985732	0	0	0
105378600	0	0	0
105378598	0	0	0
107984904	0	0	0
105378599	0	0	0
140625	0	0	0
440556	3	0	2
63976	54	23	23
100422968	0	0	0
105378606	0	0	0
107984909	0	0	2
105378605	0	0	0
105378604	2	0	4
27237	280	271	293
1953	100	105	107
105378608	0	0	0
693135	0	0	0
105378607	0	0	0
127262	731	620	607
49856	263	272	256
7161	14	23	14
105378610	0	0	0
105378609	0	0	0
57212	537	609	490
148870	11	21	6
388588	17	28	16
57470	709	681	694
9731	161	177	165
1677	187	131	125
107984910	2	0	4
339448	381	366	389
100133612	1	3	8
728716	0	0	0
105376672	0	0	0
105376673	0	0	0
284661	0	0	0
105376674	0	0	0
105376679	0	0	0
107985376	0	0	0
55966	0	0	0
105376680	0	0	0
102724429	0	0	0
105376681	0	0	0
105376682	0	0	0
107984911	0	0	0
105376686	0	0	0
100616421	0	0	1
261734	265	223	258
8514	206	188	218
26038	4	10	29
105376687	0	0	0
6146	5281	5392	5074
107985733	44	29	34
102724450	7	10	10
388591	273	324	311
23463	4712	4315	4168
148645	33	43	43
390992	0	0	0
387509	95	70	102
11332	1001	952	945
54626	7	17	10
83715	25	16	24
100422975	0	0	0
8718	258	180	176
57449	882	730	685
79707	364	273	246
80835	4	7	1
107984912	0	0	0
3104	247	278	263
9903	621	621	581
107984913	4	2	1
148479	531	582	578
90326	479	452	444
55735	1285	1293	1280
100505887	0	0	0
110841581	9	2	3
23261	541	543	546
105376692	0	0	0
102725193	0	0	0
101928836	0	0	0
105376691	0	0	0
105376689	37	45	44
9341	2141	2012	2036
8863	67	68	66
10911	5	1	0
3604	69	85	96
11315	3286	3287	3173
54206	6900	8255	8129
107984915	1	0	0
102724539	0	1	0
105376695	0	0	0
50651	44	61	60
473	918	975	1094
102724552	1	2	0
106632271	0	0	0
2023	51053	47278	45233
102465436	6	2	5
100505975	20	12	22
