GeneID	control	control	control	perturbed	perturbed
100287102	11	20	15	9	16
653635	898	800	994	422	845
102466751	26	13	20	9	37
107985730	4	3	4	1	3
100302278	1	1	1	0	0
645520	0	0	0	0	0
79501	0	0	0	0	0
100996442	60	76	89	47	106
729737	179	162	222	86	225
102725121	14	38	35	17	29
102723897	796	718	981	458	843
102465909	10	9	13	7	16
107985721	3	5	7	5	1
112268260	38	23	40	18	42
729759	3	3	4	2	2
100132287	654	524	792	278	733
105378947	8	5	9	4	11
101928626	0	1	0	1	0
113219467	174	97	167	59	159
81399	26	26	25	15	52
100133331	387	307	456	171	416
107984841	87	85	137	57	109
107984847	124	108	154	43	125
107984849	62	33	34	15	26
100288069	172	138	203	86	193
105378580	129	106	147	55	148
400728	48	32	57	29	67
79854	62	62	85	41	82
643837	545	575	652	325	494
107984850	0	1	0	2	2
284593	2	2	1	0	1
284600	881	740	1115	333	989
100130417	843	855	889	582	1342
107985728	2551	3023	2916	2078	4002
148398	6283	7975	7388	4672	9003
26155	5439	6693	5840	3890	5545
339451	640	529	738	275	818
84069	14	15	13	12	25
84808	5	5	3	7	9
57801	187	171	235	64	89
9636	698	884	687	386	603
375790	6226	7904	6635	3658	5569
100288175	1	5	3	4	7
112267874	3	0	6	2	2
105378948	4	6	3	12	16
401934	3	0	3	1	2
54991	692	745	764	428	668
254099	0	0	0	0	0
406984	0	1	0	0	0
406983	0	0	0	0	0
554210	0	0	0	0	0
100506376	0	0	0	0	0
254173	0	2	0	0	1
8784	1	3	2	2	1
7293	20	24	23	28	38
51150	2483	2833	2748	2016	3058
126792	1536	1954	1653	1302	1771
388581	63	38	62	24	26
118424	1828	1869	2065	1030	1572
101928895	60	56	55	41	72
6339	98	49	105	37	138
116983	2573	2551	2522	1678	3178
102465434	2	2	1	1	4
109623456	12	17	12	8	34
126789	614	751	691	509	774
54973	1849	1690	1945	1114	1872
102465435	25	22	30	27	40
80772	982	1346	1004	1004	1049
83756	167	155	138	84	115
1855	2611	2757	2566	1638	2607
102466740	2	6	4	1	3
54587	6502	7673	7022	4239	6130
54998	2336	3211	2340	2099	2764
81669	4021	2370	4499	1115	4158
148413	462	482	479	419	863
55052	656	598	642	347	594
107984868	6	4	6	5	3
441869	19	14	19	20	13
105378585	2	2	5	1	2
643965	130	191	156	150	153
102724312	65	70	64	36	89
107985729	45	64	54	44	51
64856	707	848	828	640	910
219293	132	169	158	77	142
83858	1793	1899	1942	934	2010
55210	1782	2093	1944	1160	1807
339453	82	90	129	70	112
29101	1696	1886	1844	906	1351
643988	353	444	373	536	631
105378586	31	53	35	55	55
142678	1722	1787	1953	951	1879
8510	845	911	977	718	1056
984	1112	968	1259	640	1297
728661	5123	5262	5704	2874	5100
8511	497	553	551	435	603
728642	668	514	789	367	856
9906	1956	2059	2112	1317	2164
112268218	216	227	231	145	238
65220	2155	2091	2357	1291	2387
2782	10623	10788	11447	7226	11422
105378949	48	30	33	37	43
163688	8	6	22	10	39
339456	10	12	8	11	9
85452	4	2	3	1	1
107984872	1	4	1	1	1
105378589	0	0	0	0	1
2563	0	0	0	0	0
105378590	0	0	0	0	0
105378591	0	0	1	0	0
5590	360	441	457	224	336
100506504	73	83	87	33	44
199990	1598	1963	1646	1326	1953
112268219	310	372	301	268	412
105378593	26	9	17	11	13
6497	3567	4822	4187	3852	5580
79906	450	516	507	358	501
100129534	120	104	115	50	63
11079	2137	2152	2279	1007	1620
5192	717	808	679	541	728
9651	42	77	52	31	27
55229	739	766	723	435	806
388585	1	1	0	4	0
115110	37	34	46	36	54
8764	206	177	227	139	241
100996583	2	5	6	5	2
127281	1167	1461	1321	968	1349
79258	145	180	155	106	167
105378597	10	7	19	6	11
100287898	133	120	142	193	202
105378603	0	0	0	0	0
105378602	0	0	0	0	0
105378601	0	0	0	0	0
112268220	0	0	0	0	0
107985732	0	0	0	1	0
105378600	0	0	0	0	0
105378598	0	0	0	0	0
107984904	0	0	0	1	0
105378599	0	0	0	0	0
140625	0	0	0	0	0
440556	0	0	0	0	0
63976	0	0	0	0	0
100422968	0	0	0	0	0
105378606	0	0	0	0	0
107984909	0	0	0	0	0
105378605	0	0	0	0	0
105378604	0	2	0	1	0
27237	0	0	0	0	0
1953	20	12	15	16	28
105378608	11	12	13	9	4
693135	1	1	2	1	0
105378607	0	0	0	0	0
127262	827	992	861	785	1060
49856	1184	983	1259	514	971
7161	892	1076	975	573	816
105378610	29	53	38	22	73
105378609	13	16	19	7	24
57212	893	936	996	834	1373
148870	12	11	8	13	7
388588	66	89	74	66	124
57470	2985	3963	3406	2371	2950
9731	1104	1210	1294	864	1228
1677	352	314	408	278	441
107984910	15	18	25	11	23
339448	742	725	806	380	557
100133612	78	90	86	55	89
728716	1	0	0	0	0
105376672	0	0	0	0	0
105376673	0	1	0	0	0
284661	0	0	0	0	0
105376674	0	0	0	0	0
105376679	0	0	0	0	0
107985376	0	0	0	0	0
55966	0	0	0	1	0
105376680	0	0	0	0	0
102724429	0	0	0	0	0
105376681	0	0	0	0	0
105376682	0	0	0	0	0
107984911	0	0	0	0	0
105376686	0	0	0	0	0
100616421	1	0	0	1	0
261734	497	587	549	401	694
8514	136	140	142	72	124
26038	18	28	37	7	10
105376687	0	0	2	0	0
6146	2634	2222	2613	1550	2421
107985733	81	75	85	36	57
102724450	57	49	63	27	53
388591	468	401	583	183	475
23463	2737	3006	2947	1729	2702
148645	0	9	5	3	2
