GeneID	control	control	control	perturbed	perturbed	perturbed	perturbed
100287102	2	2	1	3	1	3	2
653635	504	530	536	692	492	578	573
102466751	20	29	45	34	26	30	37
107985730	3	2	1	0	1	1	2
100302278	0	0	0	1	0	0	0
645520	0	0	0	0	0	0	0
79501	0	0	0	0	0	0	0
100996442	55	61	64	53	35	44	49
729737	75	89	94	64	49	71	69
102725121	0	2	3	1	0	1	1
102723897	464	498	484	532	404	442	509
102465909	7	6	10	11	5	9	9
107985721	16	10	4	5	4	2	4
112268260	8	8	7	9	5	9	5
729759	0	0	0	2	0	0	0
100132287	163	177	180	142	106	117	124
105378947	0	2	2	0	2	0	1
101928626	0	0	0	0	0	0	0
113219467	431	441	519	389	312	369	387
81399	3	2	3	5	5	4	3
100133331	241	256	283	191	168	173	172
107984841	174	192	185	134	101	112	142
107984847	83	110	89	71	55	63	55
107984849	24	35	36	23	15	14	20
100288069	161	197	208	125	110	115	135
105378580	35	47	33	32	27	28	27
400728	15	15	10	9	11	5	7
79854	13	11	8	10	6	11	7
643837	112	116	98	115	114	106	124
107984850	0	0	0	0	1	0	0
284593	6	2	2	3	2	4	3
284600	5	5	6	2	3	0	2
100130417	3	6	4	3	1	2	2
107985728	4	13	3	4	1	1	1
148398	112	124	132	110	102	114	120
26155	1785	1834	1931	2147	1685	1971	2126
339451	212	201	262	278	193	232	256
84069	1	0	1	11	2	1	4
84808	1	0	0	1	0	1	0
57801	4	7	9	1	2	3	8
9636	73	70	110	105	84	108	112
375790	919	977	1031	791	632	694	709
100288175	7	3	3	3	1	3	4
112267874	1	3	1	1	1	1	2
105378948	11	13	15	9	4	6	6
401934	0	0	0	0	1	1	0
54991	206	177	216	237	155	165	195
254099	0	0	0	0	0	0	0
406984	0	0	0	0	0	0	0
406983	0	0	0	0	0	0	0
554210	0	0	0	0	0	0	0
100506376	0	0	0	0	0	0	0
254173	0	0	0	1	0	0	0
8784	0	0	0	0	0	0	0
7293	0	0	2	3	0	0	1
51150	1886	1886	1940	2475	1867	2165	2297
126792	253	240	285	294	262	286	271
388581	6	4	6	3	7	6	6
118424	611	630	618	835	698	705	756
101928895	10	18	22	18	5	18	19
6339	31	47	60	36	38	46	35
116983	548	573	564	863	648	746	859
102465434	1	2	2	0	1	1	1
109623456	8	6	5	8	5	10	8
126789	190	166	150	252	200	211	215
54973	1370	1326	1478	1437	1056	1361	1306
102465435	5	2	8	12	6	8	7
80772	142	122	122	197	125	195	199
83756	15	11	7	15	9	11	5
1855	405	456	485	552	393	532	506
102466740	4	3	7	5	1	5	5
54587	43	38	54	47	39	46	47
54998	423	406	448	522	425	432	486
81669	4102	4439	4883	3684	2898	3292	3346
148413	328	366	337	466	348	413	445
55052	643	721	669	811	666	840	815
107984868	2	0	3	0	0	0	0
441869	0	2	2	1	0	0	0
105378585	0	1	0	0	0	0	0
643965	0	0	0	0	0	0	0
102724312	1	0	0	0	0	0	0
107985729	1	0	0	0	1	0	0
64856	0	0	2	0	0	0	0
219293	21	24	18	31	19	29	32
83858	644	659	815	997	803	886	901
55210	1073	1070	1138	1467	1176	1377	1377
339453	0	1	0	7	1	2	4
29101	611	583	637	665	497	577	618
643988	162	159	145	102	103	90	89
105378586	21	26	31	19	21	17	14
142678	644	621	677	514	419	518	521
8510	18	28	28	31	14	26	23
984	1191	1277	1522	1883	1533	1947	1865
728661	2125	2257	2355	2214	1760	1765	2030
8511	7	9	10	4	5	3	8
728642	911	1002	1115	1355	1067	1288	1354
9906	1090	1112	1217	989	787	813	831
112268218	87	75	77	96	73	117	83
65220	1587	1565	1711	2145	1668	2052	1956
2782	6800	7341	7435	8050	6289	7143	7642
105378949	2	0	1	3	1	5	11
163688	13	14	20	9	8	8	8
339456	1	2	1	1	0	0	0
85452	2	0	1	0	0	3	1
