GeneID	control	control	control	perturbed	perturbed	perturbed
100287102	4	5	4	9	5	7
653635	639	833	735	691	702	808
102466751	17	15	12	16	16	19
107985730	1	1	0	0	0	1
100302278	0	0	0	0	0	0
645520	0	0	0	1	1	0
79501	0	0	0	0	0	0
100996442	25	43	30	24	29	33
729737	291	409	319	349	406	446
102725121	4	4	3	5	3	7
102723897	623	788	679	697	649	797
102465909	14	14	8	11	12	15
107985721	0	3	1	0	0	1
112268260	10	16	9	16	15	11
729759	1	1	0	0	0	0
100132287	243	341	261	310	322	380
105378947	2	2	1	1	0	2
101928626	0	0	0	0	0	0
113219467	1135	2194	1933	1717	1754	2008
81399	3	7	2	2	3	6
100133331	265	377	279	341	350	404
107984841	36	65	47	57	56	66
107984847	55	95	70	53	69	72
107984849	18	18	6	16	9	19
100288069	53	57	41	57	54	55
105378580	15	23	19	29	36	39
400728	9	12	14	50	38	64
79854	47	35	40	41	54	40
643837	285	366	295	762	715	768
107984850	0	1	0	3	2	0
284593	0	1	0	0	1	0
284600	289	416	353	125	150	161
100130417	170	244	180	76	93	91
107985728	188	328	232	131	120	148
148398	938	1649	1407	917	865	978
26155	2934	3814	3226	6514	6366	7137
339451	710	911	694	670	745	746
84069	116	118	93	264	306	301
84808	27	37	22	41	43	54
57801	2776	3824	3270	2546	2300	2664
9636	853	1125	1072	4713	4012	4336
375790	21160	27935	22596	18188	15766	17569
100288175	145	173	147	273	266	338
112267874	44	50	42	52	59	52
105378948	120	147	129	220	202	241
401934	6	2	1	8	6	2
54991	411	549	441	483	461	544
254099	0	0	0	0	0	0
406984	0	0	0	0	0	0
406983	0	0	0	0	0	0
554210	0	0	0	0	0	0
100506376	0	0	0	0	0	0
254173	0	0	0	0	2	1
8784	14	18	14	11	18	20
7293	2	1	1	1	2	1
51150	4806	6632	5538	6459	6247	7179
126792	1616	2215	1790	1502	1304	1567
388581	31	32	25	23	23	22
118424	1496	2064	1717	2374	2117	2447
101928895	122	203	129	84	102	101
6339	400	558	521	340	367	385
116983	1969	2607	2094	2109	2171	2416
102465434	1	1	1	1	0	1
109623456	18	16	6	13	16	12
126789	319	439	372	578	598	647
54973	2223	3016	2511	2824	2721	3113
102465435	10	5	13	4	8	10
