GeneID	control	control	control	perturbed	perturbed
100287102	41	43	72	21	47
653635	369	393	449	373	398
102466751	1	2	9	3	8
107985730	1	0	0	0	1
100302278	0	1	0	0	0
645520	10	9	12	5	4
79501	0	0	0	0	0
100996442	29	16	17	7	11
729737	102	142	169	98	164
102725121	43	45	80	26	49
102723897	551	583	620	534	525
102465909	0	5	3	3	2
107985721	0	0	0	3	1
112268260	9	22	15	10	7
729759	1	1	0	0	0
100132287	47	64	81	54	70
105378947	1	0	1	1	1
101928626	0	0	0	0	0
113219467	182	310	497	328	549
81399	4	5	8	2	4
100133331	60	73	91	83	70
107984841	12	15	17	19	15
107984847	6	24	26	22	24
107984849	1	5	4	2	3
100288069	14	16	21	18	26
105378580	10	10	3	6	16
400728	3	1	3	4	4
79854	17	28	17	15	17
643837	315	427	494	300	411
107984850	0	0	1	0	2
284593	2	1	0	0	0
284600	2	10	10	4	22
100130417	8	5	16	20	20
107985728	26	5	15	27	40
148398	305	392	408	381	400
26155	3733	3653	4606	3038	3433
339451	379	484	529	392	400
84069	74	108	85	96	101
84808	22	18	8	19	16
57801	346	350	332	536	461
9636	827	967	947	791	1069
375790	2337	2590	2562	1906	2230
100288175	30	50	38	33	43
112267874	9	15	8	10	11
105378948	24	36	25	24	31
401934	0	0	0	0	1
54991	383	363	396	343	352
254099	0	0	0	0	0
406984	0	0	0	0	0
406983	0	0	0	0	0
554210	0	0	0	0	0
100506376	0	0	0	0	0
254173	0	0	0	0	0
8784	0	0	0	0	0
7293	0	0	4	0	0
51150	4484	4715	5078	3907	4297
126792	899	918	1012	833	879
388581	2	8	7	7	8
118424	2936	2800	3093	2261	2433
101928895	27	56	62	52	49
6339	161	187	190	171	144
116983	707	828	906	744	879
102465434	0	0	1	1	1
109623456	0	0	0	0	1
126789	889	763	993	665	760
54973	2051	1922	2550	1717	1834
102465435	3	7	8	6	9
80772	1311	1249	1327	970	1156
83756	22	15	26	18	23
1855	4283	3705	4170	3227	3204
102466740	2	2	3	2	3
54587	624	736	716	574	663
54998	3705	3140	4029	2888	2891
81669	1013	1636	1755	1333	1314
148413	502	521	649	441	488
55052	1608	1656	1892	1415	1456
107984868	0	2	0	0	0
441869	6	7	11	12	10
105378585	0	0	0	2	2
643965	0	0	0	0	0
102724312	1	2	0	3	0
107985729	1	0	0	0	0
64856	62	42	58	73	71
219293	65	60	78	60	51
83858	2081	1945	2370	1662	1764
55210	3648	3477	4382	2767	3103
339453	5	7	4	6	5
29101	3638	4011	4384	3269	3536
643988	392	435	472	448	516
105378586	46	51	49	32	49
142678	1141	1127	1351	1120	1146
8510	45	54	80	63	61
984	1681	1849	2190	1549	1733
728661	1876	2043	2284	2003	1996
8511	11	9	10	6	22
728642	955	1151	1303	888	1020
9906	408	474	517	522	544
112268218	111	139	136	108	114
65220	2237	2143	2544	1784	1970
2782	11299	12513	13894	9990	10816
105378949	43	28	30	20	32
163688	0	0	1	0	0
339456	9	8	13	16	15
85452	2	0	1	1	0
107984872	1	0	0	2	1
105378589	0	0	0	0	0
2563	3	0	1	13	3
105378590	0	0	0	0	0
105378591	0	0	0	1	2
5590	102	83	104	129	123
100506504	12	26	21	6	23
199990	1331	1136	1291	1124	1233
112268219	64	61	58	52	55
105378593	1	1	1	1	2
6497	2740	2732	3233	2444	3110
79906	101	115	80	113	85
100129534	25	42	25	25	27
11079	3395	4189	4090	3138	3156
5192	747	817	931	641	756
9651	65	48	49	56	63
55229	489	656	638	557	629
388585	5	3	3	0	3
115110	9	16	20	17	27
8764	133	160	139	110	184
100996583	0	0	0	0	0
127281	1115	1121	1180	881	916
79258	148	156	185	116	129
105378597	0	0	0	0	0
100287898	2	2	1	3	2
105378603	0	0	0	0	0
105378602	0	0	0	0	0
105378601	0	0	0	0	0
112268220	0	0	0	0	0
107985732	0	0	0	0	0
105378600	0	0	0	0	0
105378598	0	0	0	0	0
107984904	0	0	0	0	0
105378599	0	0	0	0	0
140625	0	0	0	0	0
440556	0	0	2	1	4
63976	15	5	9	9	13
100422968	0	0	0	0	0
105378606	0	0	0	0	0
107984909	0	1	0	0	0
105378605	0	0	0	0	0
105378604	0	0	0	0	0
27237	7	6	12	14	18
1953	5	5	12	6	8
105378608	0	0	0	0	0
693135	0	0	0	0	0
105378607	0	0	0	0	0
127262	815	855	976	825	875
49856	818	822	930	700	745
7161	75	85	92	133	123
105378610	0	0	0	0	0
105378609	0	0	0	0	0
57212	456	422	555	429	491
148870	0	0	0	0	0
388588	3	8	4	20	7
57470	1628	1697	1927	1456	1758
9731	617	773	877	638	647
1677	255	245	293	239	217
107984910	5	7	10	9	1
339448	769	813	901	525	639
100133612	4	15	7	10	14
728716	0	0	0	0	0
105376672	0	0	0	0	0
105376673	113	83	95	41	76
284661	0	0	0	0	0
105376674	0	0	0	0	0
105376679	0	0	0	0	0
107985376	0	0	0	0	0
55966	0	0	0	0	0
105376680	0	0	0	0	0
102724429	0	0	0	0	0
105376681	0	0	0	0	0
105376682	0	0	0	0	0
107984911	0	0	0	0	0
105376686	0	0	0	0	0
100616421	0	0	0	0	0
261734	229	253	329	283	286
8514	781	789	851	585	717
26038	0	3	4	8	9
105376687	0	0	0	0	0
6146	11438	11496	13596	9530	9209
107985733	54	35	46	46	43
102724450	8	6	6	6	7
388591	50	97	114	67	117
23463	5686	6355	6186	5025	5131
148645	73	75	69	61	54
390992	0	0	0	0	0
387509	1137	954	1028	1386	1445
11332	2513	2776	3027	2358	2721
54626	26	41	32	40	52
83715	22	40	35	29	43
100422975	0	0	0	0	0
8718	25	20	30	19	17
57449	95	110	126	131	84
79707	375	475	457	375	358
80835	0	1	0	0	0
107984912	0	0	0	0	0
3104	220	260	256	272	234
9903	1700	1761	1934	1685	1950
107984913	2	2	2	1	7
148479	668	870	960	658	700
90326	745	832	959	649	752
55735	1660	1664	2315	1424	1589
100505887	0	0	0	0	0
110841581	6	3	9	10	4
23261	1188	1041	1101	824	884
105376692	0	0	0	0	0
102725193	3	0	1	0	0
101928836	0	0	0	0	0
105376691	0	0	0	0	0
105376689	0	3	0	4	6
9341	2318	2972	2847	2499	2520
8863	311	349	286	249	281
10911	0	2	3	0	0
3604	5	6	13	10	4
11315	7171	7568	7752	5750	5513
54206	13730	16226	15998	15967	17232
107984915	0	1	1	3	0
102724539	3	10	10	4	9
105376695	0	1	1	1	0
50651	24	42	26	53	39
473	1164	1327	1503	1301	1600
102724552	2	1	1	1	3
106632271	0	0	0	0	0
2023	72934	81505	97245	68118	77177
102465436	5	6	4	4	3
100505975	40	42	31	36	38
112268261	0	1	0	0	0
765	8	15	9	9	8
155184	0	0	0	0	0
6518	18	10	5	11	18
80045	160	151	178	167	196
106614088	8	17	49	70	48
407040	0	0	1	2	2
102724571	4	1	6	4	1
9563	875	1018	1042	1107	1284
80176	1104	1042	1257	1179	1152
100506022	24	20	36	31	25
84275	918	834	925	689	653
199953	677	766	890	601	742
107985734	29	32	40	18	27
105376712	0	0	0	0	0
5293	426	445	482	302	347
644997	0	0	0	0	0
101929074	19	34	14	25	20
22883	4479	4890	5288	3890	4627
56998	1257	1289	1384	1139	1232
105376717	212	140	229	151	173
84328	1453	1804	1826	1209	1401
64802	332	477	451	292	330
113391335	0	0	0	0	0
100847055	0	0	0	0	0
116362	4	6	4	7	2
10277	1110	1045	1298	1022	1200
23095	1070	1224	1131	977	1107
105376725	0	0	1	0	0
5226	4077	4718	5554	3671	4167
100526739	384	384	426	307	286
378708	410	413	458	315	310
1325	15	27	37	28	15
1676	2219	2513	2597	1900	2010
5195	734	856	941	680	705
54897	95	80	75	57	66
105376733	0	0	0	0	0
105376735	0	0	0	0	0
148345	1	0	0	1	0
23435	4721	5612	5897	4382	4453
10747	8	12	16	19	9
6723	5266	5099	6449	3904	5043
5394	2639	2633	3294	2198	2423
105376736	106	89	138	88	105
2475	1286	1221	1479	1184	1222
100873935	24	11	25	23	16
10218	0	0	1	1	0
29914	871	879	1074	820	912
105376737	0	0	0	0	0
105376739	0	0	0	0	0
105376740	0	0	1	0	0
57540	2	0	1	1	4
112268221	2	0	0	1	0
101929181	0	1	3	1	2
26232	14	5	11	21	12
93611	56	61	52	63	81
26270	8	6	0	7	5
10459	1306	1394	1580	1181	1166
374946	0	2	2	2	4
57085	526	613	637	452	494
284498	38	58	56	41	49
102724659	0	0	0	0	0
4524	183	225	241	207	212
1185	268	334	428	263	336
100379251	68	56	80	53	63
4878	13	17	19	15	17
4879	0	0	1	0	2
26829	6	9	0	4	4
90231	2337	2400	2617	2099	2142
5351	2539	3055	3268	2683	2953
9927	3684	3802	4373	2924	3093
60672	682	625	749	454	534
102466982	3	2	1	0	2
943	0	4	4	1	2
102465836	5	2	1	1	2
7133	62	59	83	37	55
100616438	0	0	0	0	0
107984917	0	0	0	0	0
55187	504	548	604	457	532
677885	2	1	0	0	0
105376744	0	0	0	0	0
9249	147	148	140	146	236
102466722	0	0	0	0	0
343066	0	0	0	0	0
126767	0	0	0	0	0
93190	0	0	0	0	0
390999	0	0	0	0	0
65121	0	0	0	0	0
105376745	0	0	0	0	0
440560	0	0	0	0	0
343069	1	0	0	0	0
65122	0	0	0	0	0
400735	0	0	0	0	0
343071	0	0	0	0	0
441871	0	0	0	0	0
440561	0	0	0	0	0
101929983	0	0	0	0	0
649330	0	0	0	0	0
441873	0	0	0	0	0
649324	0	0	0	0	0
440563	0	0	0	0	0
645354	0	0	0	0	0
645359	0	0	0	0	0
101060301	0	0	0	0	0
343070	0	0	0	0	0
400736	0	0	0	0	0
391003	0	0	0	0	0
343068	0	0	0	0	0
391002	0	0	0	0	0
645382	0	0	0	0	0
653619	0	0	0	0	0
729528	0	0	0	0	2
645414	0	0	0	0	0
391004	0	0	0	0	0
645425	0	0	0	0	0
126755	0	0	0	0	0
102724856	0	0	0	0	0
107984918	0	0	0	0	0
10630	20	14	38	62	79
107984919	0	0	0	0	0
105378612	0	0	0	0	0
105376756	0	0	0	0	0
7799	406	462	564	451	457
23254	13	6	27	28	24
107985467	0	0	0	0	0
107985468	0	0	0	0	0
105376762	0	0	0	0	0
105376759	0	0	0	0	0
107985469	0	0	0	0	0
200197	0	0	3	2	3
55092	200	199	267	195	215
727684	0	0	0	0	0
114827	26	39	39	24	33
101927417	7	8	7	5	6
101927441	5	15	5	15	12
79180	7077	6579	7808	5591	6056
11330	0	0	2	0	0
63036	0	0	0	0	1
105376767	0	0	0	0	0
51032	4	5	3	4	4
842	344	329	334	342	376
23341	296	377	406	319	403
107397391	0	0	0	0	0
79814	217	210	243	145	141
84301	893	982	1007	897	957
6248	152	124	153	130	141
23207	1613	1596	1645	1333	1349
284723	3	4	13	7	7
110806303	4	2	5	3	2
388595	0	0	0	0	0
54751	341	409	354	331	379
440567	153	158	171	119	136
729614	105	125	112	120	122
23013	1219	1029	1339	1307	1470
7709	749	778	879	713	686
149563	0	0	0	0	0
27129	0	0	0	0	0
1187	0	0	0	0	0
1188	1	0	2	6	2
348487	3	6	1	2	6
1969	8302	8689	10179	6695	8299
101927479	58	82	83	57	68
128272	190	215	224	196	203
101927546	28	41	47	17	18
79363	52	59	63	54	68
54455	529	643	654	599	606
26099	4360	4276	4622	3691	3687
374955	1999	2158	2322	1853	1773
55707	1841	2009	2075	1605	1706
107984921	3	10	7	2	7
114819	17	24	25	17	24
26871	0	1	1	0	0
107985757	0	0	0	0	0
100132147	0	1	1	2	1
107985758	0	0	1	0	0
7195	0	0	0	0	0
55672	640	738	698	597	577
105376794	173	223	265	202	197
84809	267	289	362	242	273
11209	2	12	16	6	14
107985736	1	4	2	2	2
26869	0	1	1	0	0
107985759	0	0	0	0	0
284729	0	0	0	0	0
100189045	0	0	0	0	0
6060	0	1	1	0	0
11223	1	0	5	1	0
100500876	0	0	0	0	0
100189298	0	0	0	0	0
112267871	1	1	0	0	1
7193	0	0	0	0	0
100189183	0	0	0	0	0
105376805	77	71	89	67	47
791226	0	0	0	0	0
26870	0	0	1	0	0
9696	232	221	309	161	248
4237	181	262	260	201	262
105376806	57	58	93	63	68
23400	2209	2279	2486	1638	1982
6390	2176	2469	2552	1867	2004
11240	9	5	5	4	4
105376808	0	0	0	0	0
400743	7	8	5	3	8
29943	27	43	40	15	17
51702	7	2	0	3	4
100616188	0	0	0	0	0
23569	0	0	0	0	0
353238	0	0	0	0	0
55920	4637	5056	5941	4188	4533
55160	5	10	7	12	18
107984028	0	0	0	0	0
81569	1	0	0	0	0
105376809	0	0	0	0	0
105376812	0	0	0	0	0
101927876	0	0	0	0	0
84966	0	0	0	0	0
105376814	0	0	0	0	0
127707	0	0	0	0	0
5081	0	0	1	0	0
80834	0	0	0	0	0
8659	347	350	478	303	335
100616120	0	0	0	0	1
100302276	0	0	0	0	0
126917	1796	2058	2008	1483	1568
105376815	0	0	0	2	0
23352	4866	5085	6316	3333	4487
101927895	69	82	85	67	76
23065	1535	1725	2226	1377	1573
51154	3416	3413	4049	2813	2889
246181	10	14	6	7	12
22977	16	7	16	12	19
100506730	27	46	54	41	46
8574	1770	1715	2026	1467	1583
54896	598	740	715	532	653
832	5749	6028	6984	5269	5425
105376819	1	0	0	1	0
105376818	0	0	0	0	0
105376817	0	0	0	0	0
105378614	0	0	0	3	0
440574	1306	1677	1591	1268	1102
100532736	1442	1544	1575	1228	1216
644068	19	5	9	12	10
4681	780	757	819	648	715
3362	0	4	0	0	1
255104	611	734	838	498	639
54546	0	0	0	0	0
105376823	0	0	0	1	0
23252	471	604	635	457	517
30814	0	0	0	0	0
5320	0	0	0	0	0
5322	0	0	0	0	0
26279	0	0	0	0	0
64600	0	0	1	0	0
391013	0	0	0	0	0
127733	0	0	0	1	0
101928017	0	0	0	0	0
105376825	0	0	0	0	0
105376826	0	0	0	0	0
105376827	0	0	0	0	0
105376828	0	0	0	0	0
127731	0	0	0	0	0
339505	0	0	0	0	0
55450	605	709	831	616	767
79594	1041	1076	1109	898	951
163933	1	0	0	3	1
978	880	970	1052	535	742
65018	2035	2288	2128	1653	1800
102464833	203	198	172	166	196
100861548	1714	2160	1973	1465	1536
1650	6620	7689	8219	5824	6549
57576	33	67	51	39	54
400745	253	306	305	185	181
112268222	916	1302	1262	1048	1064
50809	3982	4569	5385	4271	4178
8672	2362	2573	3121	2283	2736
105376830	0	0	0	0	0
105376829	0	0	0	1	0
100302155	0	0	0	0	0
1889	3172	3414	3810	2777	3457
100506801	0	1	0	0	6
105376832	0	0	0	0	0
84224	368	431	480	356	351
249	11	2	4	11	10
105376834	0	0	0	0	0
5909	14	6	11	31	23
84196	1701	2039	2097	1782	1578
401944	117	137	152	77	102
3339	756	736	699	401	544
23436	0	0	0	0	0
10136	1	0	0	0	0
101928043	3	3	11	8	4
29092	396	511	519	344	349
112268223	24	38	34	31	25
998	9101	11723	11164	9367	9123
54361	0	1	0	0	0
105376845	0	9	3	1	1
105376850	0	0	0	0	0
107985377	0	0	0	0	0
100616433	0	0	0	0	0
105376856	0	0	0	0	0
9923	477	512	561	461	530
2046	16	4	11	11	22
102466615	0	0	0	0	0
712	0	0	0	0	0
714	0	0	0	0	0
713	0	0	0	0	0
2048	847	956	911	447	613
100616391	0	0	0	0	0
100422914	21	35	30	23	21
646262	0	0	0	0	0
729059	0	0	0	1	1
23028	3020	3444	3881	2729	3052
100422866	0	0	0	0	0
7798	1310	1499	1606	1281	1442
3352	30	47	47	16	27
100996511	10	15	21	9	16
10236	7878	8420	9415	6968	6997
80818	292	424	297	361	388
148898	21	25	24	28	44
6920	431	453	561	438	482
55616	463	516	508	448	466
1870	241	195	238	221	205
101928163	16	9	4	3	6
105376859	0	0	0	3	1
3399	81	87	125	143	148
107984928	0	0	0	0	0
259283	0	0	0	0	0
6135	22265	22128	25021	18565	18462
6924	2609	2849	3122	2152	2569
100506963	161	180	194	139	176
57095	1304	1523	1531	1301	1296
105376860	347	268	298	276	266
11313	1614	1806	1870	1583	1834
2582	1760	1779	2027	1336	1477
3155	366	473	415	358	386
105376861	8	6	9	2	4
2517	398	598	466	412	506
1269	1	0	0	1	3
107984929	0	0	0	0	0
100616492	0	0	0	0	0
55629	3301	4032	4294	3243	3181
10772	4022	5395	5298	4337	4368
105378615	0	0	0	0	0
105376863	0	0	0	0	0
107984931	0	0	0	0	0
127294	0	0	1	1	0
107985737	0	0	0	1	0
105376864	0	0	0	0	0
58985	2	0	5	0	0
163702	37	50	35	55	41
284632	0	0	0	0	0
105376871	0	0	0	1	0
57822	2	5	4	3	8
90529	401	388	499	369	314
57185	1715	2133	2155	1379	1465
100750325	3	1	2	2	5
11123	477	729	634	509	471
100506985	32	61	37	37	41
400746	0	0	0	0	0
10250	2053	2303	2766	2156	2757
25932	10634	13658	13035	13978	14234
105376876	0	0	0	0	0
864	0	3	0	0	0
102465437	0	0	0	0	0
107984932	0	0	0	0	0
105376878	0	1	0	0	2
100616365	0	0	0	0	0
105376879	0	0	0	0	0
25949	1728	2218	2075	1757	1851
57035	215	405	359	353	346
105376882	0	0	0	0	0
6007	3	3	2	0	2
23585	1398	1843	1621	1358	1505
6006	574	786	810	618	669
55219	775	1005	1011	706	809
26119	667	847	903	648	680
57134	39	45	81	39	61
57190	1422	1607	1692	1269	1355
56181	908	1075	1115	960	922
646471	118	129	135	127	120
79000	495	596	622	441	502
164091	428	459	493	291	385
3925	17760	23438	22525	16285	16075
100500808	759	929	1067	770	686
105376885	0	0	0	0	0
5051	180	193	153	139	179
101928216	0	0	3	2	0
2134	3	1	4	5	5
7780	0	0	0	0	0
105376910	0	0	0	0	0
84676	3	5	8	4	3
149420	254	284	261	271	274
105376886	0	0	0	0	0
79927	0	1	0	1	0
110806296	0	0	0	0	0
51042	829	738	936	653	757
10256	13	15	16	7	15
378807	0	0	0	0	0
101928303	2	0	0	0	0
64793	701	820	908	697	741
83442	5668	5993	7694	6100	6841
91544	186	268	360	258	314
1043	0	4	0	0	0
55057	2	0	6	9	6
257101	0	0	0	0	0
79727	0	0	0	0	0
79947	761	838	907	585	812
101928324	0	1	3	4	1
3151	22517	25944	27528	19956	19578
6195	887	986	1010	805	836
100302190	0	0	0	0	0
105376888	0	0	0	0	1
101928728	16	16	15	7	12
8289	1810	1658	1856	1444	1669
55650	323	381	376	286	384
84243	786	907	964	697	726
2810	3227	3413	3717	1913	2183
54707	794	798	920	665	780
63906	427	438	463	337	425
10726	8394	8645	11080	6488	7433
8431	1	0	3	0	1
126695	0	0	0	0	0
388610	233	185	205	189	205
115572	148	253	238	135	145
101928391	0	0	0	1	0
6548	675	776	845	595	774
102723760	0	0	0	0	0
105376890	0	0	0	0	0
23038	921	1028	1182	1048	1213
84065	833	927	979	737	746
644961	28	15	22	13	18
84958	26	36	27	23	44
9064	250	327	393	257	305
8547	1	0	3	0	0
388611	0	0	0	0	0
2827	172	191	207	135	185
10163	3639	3903	4408	3461	3632
105376892	0	0	0	1	1
27245	398	380	450	291	463
2268	0	0	0	0	0
111216282	0	0	0	0	0
2537	300	415	348	290	238
199870	177	217	224	181	199
23673	621	811	779	915	797
5511	2267	2405	2282	2228	2164
677774	1	0	0	0	0
9473	78	86	86	40	90
6118	2638	3004	3158	2533	2652
27293	46	60	60	66	76
55113	435	454	527	424	483
2140	412	548	533	450	532
5724	12	16	13	18	15
22826	3710	4394	4454	3697	3864
93974	2523	3194	2528	2408	2259
83667	465	417	475	550	564
54797	698	711	706	663	693
65979	1129	1182	1282	1103	1110
1104	4410	4479	5239	3765	4086
8420	1730	1716	2116	1406	1469
6080	28	37	66	37	25
26768	21	63	26	20	21
54952	664	632	713	585	578
85028	373	486	545	396	396
692212	2	8	29	11	3
677838	29	47	58	30	28
677825	9	16	17	6	5
692073	5	24	13	13	5
115273	1	15	14	4	8
6883	212	287	320	246	284
105378616	18	21	13	6	24
26824	4	1	1	0	1
10691	349	451	463	400	403
51441	2495	2774	3304	2565	2844
4985	1	7	11	4	4
2035	671	628	737	876	870
399474	140	173	182	124	175
6429	3274	3784	4207	2922	3590
51102	477	422	532	424	368
10076	279	214	312	405	435
101928460	0	0	0	0	0
107984933	0	1	0	0	0
107984934	0	2	1	1	1
101929406	0	0	0	0	0
105378617	0	0	0	0	0
105378618	0	0	0	0	0
4146	10	3	1	5	3
100129196	16	10	10	13	19
7805	3209	4233	4210	4014	4818
100616164	0	0	0	0	0
105378620	0	2	1	0	1
105378621	0	0	0	0	0
105378622	1	10	4	6	2
400748	0	0	0	0	0
9672	1002	1325	1163	1102	1139
9698	1433	1446	1617	1471	1774
692234	0	1	1	1	4
692235	1	5	3	2	0
692200	0	0	0	0	0
107984935	3	6	5	2	3
79570	3	9	14	14	22
9410	1790	1887	2248	1806	1753
51538	1509	1803	1813	1432	1487
2170	16	25	21	12	13
105378623	0	0	0	0	0
107985470	0	1	0	0	0
347735	255	319	299	117	221
105378625	0	0	0	0	0
105379772	0	0	0	0	0
149086	0	0	1	0	0
284551	0	0	0	0	0
105378626	2	8	2	6	5
64129	1288	1669	1575	795	1201
3061	187	193	241	174	214
553115	1502	1678	2045	1463	1659
107985471	27	50	50	33	33
105378628	2	1	0	0	0
1307	63	70	90	46	54
101929444	6	1	4	1	3
576	55	36	33	53	69
100423028	0	0	0	0	0
90853	396	388	471	396	465
8073	9237	11231	11140	9117	8971
10657	5372	6138	6617	5820	5874
55116	716	759	911	652	743
100847018	0	0	0	0	0
23633	2003	2303	2500	1980	2134
200081	2660	3025	3577	2652	3045
79140	235	248	285	162	265
