GeneID	perturbed	perturbed	control	control
100287102	1	0	1	0
653635	106	87	105	97
102466751	1	1	3	2
107985730	1	0	1	1
100302278	0	0	0	0
645520	0	0	0	0
79501	0	0	0	0
100996442	47	28	33	38
729737	234	177	212	218
102725121	0	0	0	0
102723897	114	97	115	98
102465909	2	0	1	0
107985721	1	0	1	1
112268260	17	11	9	8
729759	0	0	0	0
100132287	125	99	160	150
105378947	1	1	2	1
101928626	0	0	0	0
113219467	701	487	189	205
81399	0	1	2	1
100133331	101	80	125	121
107984841	15	9	24	17
107984847	12	7	22	21
107984849	3	2	3	5
100288069	10	10	26	21
105378580	1	0	2	3
400728	0	0	3	1
79854	3	1	3	4
643837	48	30	55	53
107984850	0	0	0	0
284593	0	2	1	0
284600	23	12	35	48
100130417	8	3	15	20
107985728	1	0	4	3
148398	87	64	79	68
26155	504	406	634	544
339451	67	47	43	28
84069	26	19	25	26
84808	3	5	2	4
57801	23	27	7	6
9636	1114	858	25	36
375790	665	556	966	936
100288175	3	5	4	3
112267874	1	2	0	0
105378948	4	4	4	2
401934	0	0	1	0
54991	77	63	54	68
254099	0	0	0	0
406984	0	0	0	0
406983	0	0	0	0
554210	0	0	0	0
100506376	0	0	0	0
254173	0	0	0	0
8784	0	0	0	0
7293	0	0	1	0
51150	726	573	579	568
126792	247	188	233	202
388581	0	0	3	9
118424	198	144	288	251
101928895	5	8	26	22
6339	43	24	88	87
116983	237	152	355	347
102465434	0	0	1	0
109623456	1	0	1	1
126789	112	105	116	114
54973	295	204	409	399
102465435	0	1	0	2
80772	143	117	187	209
83756	7	4	6	6
1855	210	156	268	274
102466740	0	1	0	0
54587	7	6	18	16
54998	365	305	282	283
81669	468	340	917	804
148413	93	77	122	119
55052	182	119	115	113
107984868	1	0	1	0
441869	0	0	0	0
105378585	0	0	0	0
643965	0	0	0	0
102724312	0	0	0	0
107985729	0	0	0	0
64856	1	1	2	2
219293	12	8	14	17
83858	223	169	200	198
55210	339	279	355	355
339453	5	3	9	6
29101	308	224	272	207
643988	51	46	31	28
105378586	3	1	1	7
142678	114	99	288	265
8510	15	13	14	13
984	380	282	322	321
728661	191	133	451	458
8511	1	1	2	2
728642	247	214	238	244
9906	101	80	245	261
112268218	56	33	31	28
65220	387	303	382	393
2782	823	692	1694	1570
105378949	2	0	2	1
163688	1	1	1	2
339456	3	4	6	4
85452	0	0	0	0
107984872	0	0	0	1
105378589	0	0	0	0
2563	0	0	0	0
105378590	0	0	0	0
105378591	0	0	0	0
5590	21	16	25	25
100506504	3	1	3	3
199990	137	87	123	108
112268219	3	6	8	4
105378593	0	0	0	0
6497	174	139	281	261
79906	3	4	13	7
100129534	1	1	1	3
11079	326	243	342	355
5192	67	63	92	92
9651	2	0	2	3
55229	80	57	82	81
388585	0	0	0	0
115110	69	51	91	79
8764	635	512	536	486
